doc_type,doc_id,num,date_str,description,url_metadata,lang,newspaper_id,time_ut,source
lk_news,2025-09-12-adaderanalk-a3a0aeb9,adaderanalk-a3a0aeb9,2025-09-12,"‘True strength comes from our roots, not positions or privileges’ – Namal",https://www.adaderana.lk/news/112422/true-strength-comes-from-our-roots-not-positions-or-privileges-namal-,en,adaderanalk,1757652420.0,adaderana.lk
lk_news,2025-09-12-adaderanalk-eb669657,adaderanalk-eb669657,2025-09-12,Chinese Ambassador calls on former President Ranil,https://www.adaderana.lk/news/112429/chinese-ambassador-calls-on-former-president-ranil-,en,adaderanalk,1757659500.0,adaderana.lk
lk_news,2025-09-12-adaderanalk-7db3ec1c,adaderanalk-7db3ec1c,2025-09-12,"No decision yet to arrest Udaya Gammanpila, court informed",https://www.adaderana.lk/news/112431/no-decision-yet-to-arrest-udaya-gammanpila-court-informed,en,adaderanalk,1757661480.0,adaderana.lk
lk_news,2025-09-12-adaderanalk-378582b9,adaderanalk-378582b9,2025-09-12,Ven. Athuraliye Rathana Thero granted bail,https://www.adaderana.lk/news/112432/ven-athuraliye-rathana-thero-granted-bail,en,adaderanalk,1757662560.0,adaderana.lk
lk_news,2025-09-12-adaderanalk-1c9e2dee,adaderanalk-1c9e2dee,2025-09-12,Seven including pre-school children injured in Norwood accident,https://www.adaderana.lk/news/112434/seven-including-pre-school-children-injured-in-norwood-accident,en,adaderanalk,1757666580.0,adaderana.lk
lk_news,2025-09-12-adaderanalk-05ca3229,adaderanalk-05ca3229,2025-09-12,Kabir Hashim appointed as new COPA Chair,https://www.adaderana.lk/news/112436/kabir-hashim-appointed-as-new-copa-chair,en,adaderanalk,1757668680.0,adaderana.lk
lk_news,2025-09-12-dailyftlk-5866c78a,dailyftlk-5866c78a,2025-09-12,When politics meets drug trade: Sri Lanka Customs under fire,https://www.ft.lk/opinion/When-politics-meets-drug-trade-Sri-Lanka-Customs-under-fire/14-781605,en,dailyftlk,1757698920.0,ft.lk
lk_news,2025-09-12-dailyftlk-dcd22d3c,dailyftlk-dcd22d3c,2025-09-12,"HRCSL urges enhanced resource allocation, institutional reforms for Sri Lanka Police",https://www.ft.lk/opinion/HRCSL-urges-enhanced-resource-allocation-institutional-reforms-for-Sri-Lanka-Police/14-781607,en,dailyftlk,1757699130.0,ft.lk
lk_news,2025-09-13-dailyftlk-fd2711ca,dailyftlk-fd2711ca,2025-09-13,"Hayleys Fentons, Hayleys Electronics achieve AEO Tier 1 Certification from Sri Lanka Customs",https://www.ft.lk/business/Hayleys-Fentons-Hayleys-Electronics-achieve-AEO-Tier-1-Certification-from-Sri-Lanka-Customs/34-781619,en,dailyftlk,1757703272.0,ft.lk
lk_news,2025-09-13-islandlk-22c0200e,islandlk-22c0200e,2025-09-13,Ranil’s special relationship with India and the peace process,http://island.lk/ranils-special-relationship-with-india-and-the-peace-process/,en,islandlk,1757744340.0,island.lk
